Location name,Amount spent (USD)
Azuay Province,286
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,159
Cotopaxi Province,115
El Oro Province,252
Esmeraldas Province,172
Galápagos Province,≤100
Guayas Province,997
Imbabura Province,134
Loja Province,147
Los Ríos Province,265
Manabí Province,481
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,802
Santa Elena Province,129
Santo Domingo de los Tsáchilas Province,141
Sucumbíos Province,≤100
Tungurahua Province,162
Unknown,≤100
Zamora-Chinchipe Province,≤100
