Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1881
Bicol Region,4585
Cagayan Valley,2736
Calabarzon,24957
Caraga,2767
Central Luzon,10143
Central Visayas,8329
Cordillera Administrative Region,1475
Davao Region,5712
Eastern Visayas,4534
Ilocos Region,3656
Metro Manila,32772
Mimaropa,2996
Northern Mindanao,5959
Soccsksargen,5090
Unknown,≤100
Western Visayas,8167
Zamboanga Peninsula,4336
