Location name,Amount spent (LBP)
Beirut Governorate,3366567
Beqaa Governorate,1044776
Mount Lebanon Governorate,1976418
Nabatieh Governorate,471045
North Governorate,1502836
South Governorate,805970
Unknown,≤100
