Location name,Amount spent (MXN)
Aguascalientes,8902
Baja California,45953
Baja California Sur,7819
Campeche,20228
Chiapas,19046
Chihuahua,32463
Coahuila de Zaragoza,26960
Colima,6489
Distrito Federal,142312
Durango,6740
Guanajuato,39657
Guerrero,13838
Hidalgo,8202
Jalisco,112269
Michoacán de Ocampo,61457
Morelos,28789
Nayarit,5416
Nuevo León,146366
Oaxaca,23865
Puebla,45080
Querétaro Arteaga,25746
Quintana Roo,81483
San Luis Potosi,19441
Sinaloa,15625
Sonora,22732
State of Mexico,74625
Tabasco,12735
Tamaulipas,32908
Tlaxcala,5800
Unknown,≤100
Veracruz,45319
Yucatán,33785
Zacatecas,7759
