Location name,Amount spent (MXN)
Aguascalientes,10276
Baja California,25529
Baja California Sur,4915
Campeche,8325
Chiapas,17253
Chihuahua,31240
Coahuila de Zaragoza,63057
Colima,24516
Distrito Federal,89620
Durango,7721
Guanajuato,61439
Guerrero,11473
Hidalgo,10066
Jalisco,104933
Michoacán de Ocampo,26127
Morelos,9303
Nayarit,4362
Nuevo León,75303
Oaxaca,12901
Puebla,24322
Querétaro Arteaga,18017
Quintana Roo,24842
San Luis Potosi,26865
Sinaloa,8651
Sonora,21002
State of Mexico,102038
Tabasco,9559
Tamaulipas,21187
Tlaxcala,4841
Unknown,≤100
Veracruz,28965
Yucatán,19286
Zacatecas,5151
