Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,605
Cerro Largo Department,135
Colonia Department,156
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,177
Montevideo Department,4193
Paysandú Department,114
Rivera Department,457
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,179
San José Department,≤100
Soriano Department,105
Tacuarembó Department,110
Treinta y Tres Department,102
Unknown,≤100
