Location name,Amount spent (MYR)
Johor,1253
Kedah,409
Kelantan,195
Kuala Lumpur,853
Labuan,≤100
Malacca,157
Negeri Sembilan,208
Pahang,212
Penang,326
Perak,392
Perlis,≤100
Putrajaya,≤100
Sabah,574
Sarawak,490
Selangor,1377
Terengganu,178
Unknown,≤100
