Location name,Amount spent (PYG)
Alto Paraguay Department,15524
Alto Paraná Department,1894059
Amambay Department,171317
Asunción,2024449
Boquerón department,75032
Caaguazú Department,1267891
Caazapá Department,196997
Canindeyú Department,179485
Central Department,6118602
Concepción Department (Paraguay),162396
Cordillera Department,530270
Guairá Department,228820
Itapúa Department,895333
Misiones Department,166955
Paraguarí Department,175246
Presidente Hayes Department,211525
San Pedro Department,248459
Unknown,137
Ñeembucú Department,153324
