Location name,Amount spent (CLP)
Antofagasta Region,79149
Araucanía Region,104923
Arica y Parinacota Region,29178
Atacama Region,27999
Aysén Region,20092
Bío Bío Region,258448
Coquimbo Region,143466
Los Lagos Region,155935
Los Ríos Region,35457
Magallanes y la Antártica Chilena Region,17439
Maule Region,92149
O'Higgins Region,89680
Santiago Metropolitan Region,999642
Tarapacá Region,35948
Unknown,≤100
Valparaíso Region,198051
