Location name,Amount spent (PLN)
Greater Poland Voivodeship,7700
Kuyavian-Pomeranian Voivodeship,3995
Lesser Poland Voivodeship,6573
Lower Silesian Voivodeship,5485
Lublin Voivodeship,3324
Lubusz Voivodeship,2607
Masovian Voivodeship,11721
Opole Voivodeship,1728
Podkarpackie Voivodeship,3417
Podlaskie Voivodeship,1862
Pomeranian Voivodeship,4891
Silesian Voivodeship,7711
Unknown,≤100
Warmian-Masurian Voivodeship,2624
West Pomeranian Voivodeship,3251
Łódź Voivodeship,4575
Świętokrzyskie Voivodeship,1970
