Location name,Amount spent (SEK)
Blekinge County,4756
Dalarna County,10729
Gotland County,2131
Gävleborg County,10313
Halland County,10422
Jämtland County,5169
Jönköping County,12462
Kalmar County,7494
Kronoberg County,6124
Norrbotten County,8795
Skåne County,47904
Stockholm County,94785
Södermanland County,11613
Unknown,≤100
Uppsala County,16146
Värmland County,8779
Västerbotten County,9408
Västernorrland County,8214
Västmanland County,9127
Västra Götaland County,61454
Örebro County,9831
Östergötland County,14835
