Location name,Amount spent (EGP)
Al Sharqia Governorate,3025
Alexandria Governorate,1324
Aswan Governorate,230
Asyut Governorate,656
Beheira Governorate,721
Beni Suef Governorate,305
Cairo Governorate,4344
Dakahlia Governorate,1281
Damietta Governorate,390
Faiyum Governorate,294
Gharbia Governorate,942
Giza Governorate,1508
Ismailia Governorate,862
Kafr el-Sheikh Governorate,529
Luxor Governorate,148
Matrouh Governorate,≤100
Minya Governorate,580
Monufia Governorate,711
New Valley Governorate,≤100
North Sinai Governorate,137
Port Said Governorate,222
Qalyubia Governorate,1194
Qena Governorate,362
Red Sea Governorate,141
Sohag Governorate,634
South Sinai Governorate,≤100
Suez Governorate,176
Unknown,≤100
