Location name,Amount spent (EUR)
Alsace,793
Aquitaine,1323
Auvergne,400
Basse-Normandie,506
Bourgogne,557
Bretagne,1148
Centre,893
Champagne-Ardenne,442
Corse,187
Franche-Comté,362
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,693
Languedoc-Roussillon,1256
Limousin,230
Lorraine,823
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1254
New Caledonia,≤100
Nord-Pas-de-Calais,1268
Pays de la Loire,1269
Picardie,579
Poitou-Charentes,598
Provence-Alpes-Côte d'Azur,2450
Reunion Island,197
Rhône-Alpes,2679
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7845
