Location name,Amount spent (AUD)
Australian Capital Territory,3039
Jervis Bay Territory,≤100
New South Wales,36589
Northern Territory,854
Queensland,36907
South Australia,9852
Tasmania,2510
Unknown,≤100
Victoria,31643
Western Australia,16261
