Location name,Amount spent (PKR)
Azad Kashmir,1406
Balochistan,1693
Federally Administered Tribal Areas,397
Gilgit-Baltistan,705
Islamabad Capital Territory,3630
Khyber Pakhtunkhwa,9579
Punjab,37278
Sindh,16268
Unknown,≤100
