Location name,Amount spent (INR)
Andaman and Nicobar Islands,408
Andhra Pradesh,54701
Arunachal Pradesh,3023
Assam,64238
Bihar,191520
Chandigarh,2023
Chhattisgarh,104113
Dadra and Nagar Haveli,2620
Delhi,60759
Goa,4292
Gujarat,83106
Haryana,70837
Himachal Pradesh,24632
Jammu and Kashmir,27631
Jharkhand,43496
Karnataka,107364
Kerala,21431
Lakshadweep,≤100
Madhya Pradesh,90441
Maharashtra,134662
Manipur,4874
Meghalaya,81673
Mizoram,1526
Nagaland,2364
Odisha,34495
Puducherry,2832
Punjab region,56651
Rajasthan,200491
Sikkim,2031
Tamil Nadu,68400
Telangana,30079
Tripura,9213
Unknown,≤100
Uttar Pradesh,186590
Uttarakhand,26216
West Bengal,114740
