Location name,Amount spent (PGK)
Eastern Highlands Province,≤100
Hela Province,≤100
Jiwaka Province,≤100
Madang Province,≤100
Morobe Province,≤100
New Ireland Province,≤100
Port Moresby,≤100
Western Highlands Province,≤100
