Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),434648,12
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,233261,5
103527991214141,Cero DICOM,Cero Dicom,208858,7
228557190541436,BancoEstado,BancoEstado,149701,26
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,109094,10
1548643738480723,Asistencia Deudores,Asistencia Deudores,104656,2
105798328215264,Asistencia Familia,Asistencia Familia,93845,6
231952623614906,Daniel Melo Diputado,Diputado Daniel Melo,93201,1
117752777993026,Economía y Finanzas para Todos,Economía y Finanzas para Todos,78230,4
184559421980613,Vlado Mirosevic,Vlado Mirosevic,71501,3
386423238164424,Enel Chile,Enel Chile,64298,1
256214294989170,DaleProfe,daleProfe,59823,76
105216321995280,Pivotes_cl,Fundación Pivotes,59152,7
106037731330237,CentroAvance,Centro Avance,55518,9
221901754840837,Acciona.Chile,ACCIONA Chile,46364,16
179469489118356,UDLA Chile,UDLA Chile,42684,4
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,42059,5
1409821842658101,Merlín Research,Merlín Research,41590,1
257465991058055,El Periodista,elperiodista.cl,38694,4
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,37853,2
1595598017161489,Völka Chokolade,These ads ran without a disclaimer,34840,1
211676538936148,Fundación Reforestemos,Fundación Reforestemos,33231,2
112089607203762,Consejo del Salmón,Consejo del Salmón,32806,4
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,29999,1
172277313691851,Chile Liberal,Chile Liberal,29029,2
113838817025219,Coperiodistas,Coperiodistas,26077,3
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,25119,10
386634201382499,Marco Enriquez-Ominami,Marco Enríquez-Ominami,24994,3
761606963919174,Somos Aclara,Somos Aclara,23604,4
104923331929196,Enciclopedia Bío-Bío,Enciclopedia Bío Bío,22712,5
104487498154013,Agenda Transparencia,Agenda Transparencia,21433,5
181189911970230,Alberto Undurraga V,Alberto Undurraga V,21156,2
113194374358815,Compromiso Minero Chile,Compromiso Minero,20706,3
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,20188,10
103135519746590,Mall Curicó,These ads ran without a disclaimer,20178,1
101077969210224,Corporación Clúster Minero Región de Antofagasta,Corporación Cluster Minero Región Antofagasta,19347,1
110835964029132,Var Constitucional,Var Constitucional,19248,2
117807634946410,Sociedad de Fomento Fabril (Sofofa),Sofofa,18005,1
100975964813324,No+desempleo,No más Desempleo,17665,3
101248676163115,Asociación Comunal La Higuera,Asociación Comunal La Higuera,13459,5
200033693376679,Norte Verde,Inmobiliaria Norte Verde Spa,12912,2
1101427233255754,Christopher White,Christopher White Bahamondes,12837,25
100826904957145,Centro Científico Tecnológico Región de Antofagasta,CICITEM,11997,1
101750312738517,paolawalkernz,These ads ran without a disclaimer,11953,1
104224427947088,Circula el Plástico,Metrix,11263,3
198921630648476,Vidrios Lirquén,Vidrios Lirquen,11223,1
350025708997760,Minera Vizcachitas,Minera Vizcachitas,11197,9
104857081932390,Paulina Vodanovic,Paulina Vodanovic,10791,11
103463095024719,Curiocity,Curiocíty,10389,1
212862908741975,Acoger,These ads ran without a disclaimer,9591,1
112414063439760,DeliBest Chile,Brecha Digital Consultores,8912,62
110298075136183,Cultura Previsional Chile,Servicios Audiovisualea Sofan SpA,8471,5
106088671518497,Agustín Iglesias Concejal Independencia,Agustín Iglesias Concejal Independencia,8442,2
109956745753163,Lay's Chile,These ads ran without a disclaimer,8412,1
110405624650830,Chile En La Encrucijada,Chile En La Encrucijada,8246,3
154785904692548,SalmonChile,SalmonChile,7571,5
102019462029011,V más V,V más V,7571,1
78239901502,Diario Financiero,Grupo DF,7571,18
269529733388204,Jaime Vásquez Consejero,Jaime Vásquez Consejero,7294,1
