Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Árni Guðmundsson,7030,1
737169626371453,Heimildin,Stundin,4719,2
116586928363474,Borgarleikhúsið,Borgarleikhúsið,4308,2
573559522797177,Flokkur fólksins,Flokkur Fólksins,3929,3
128854307193614,Landsvirkjun,Landsvirkjun,2737,2
106979180938014,Samstöðin,Samstöðin ehf,2280,2
154893001218870,ADHD samtökin,ADHD samtökin,1838,4
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,1717,1
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,1189,2
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,1122,5
1259808350720927,Þorgerður Katrín Gunnarsdóttir,Viðreisn,727,1
165630723862615,Andríki,Andríki,705,1
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,696,1
626846780726124,Viðreisn,Viðreisn,669,2
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,458,1
396010277151129,Sjálfstæðisfélag Seltirninga,Sjálfstæðisfélag Seltirninga,401,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,305,1
152804904889,Samfylkingin,Samfylkingin,249,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,144,1
103327575982403,Vality,These ads ran without a disclaimer,144,1
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,132,1
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,1
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,1
104830499126288,Mania Traver 1,These ads ran without a disclaimer,≤100,1
101364076007366,Doors Travelers,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
482433008501115,Future Landscapes,These ads ran without a disclaimer,≤100,1
109226401995838,creandomundos_ai,These ads ran without a disclaimer,≤100,1
102224325029636,Sunčica studio,These ads ran without a disclaimer,≤100,1
