Location name,Amount spent (PYG)
Alto Paraguay Department,93846
Alto Paraná Department,1483593
Amambay Department,121236
Asunción,1473836
Boquerón department,58048
Caaguazú Department,524489
Caazapá Department,100506
Canindeyú Department,136457
Central Department,4880555
Concepción Department (Paraguay),180737
Cordillera Department,306720
Guairá Department,130993
Itapúa Department,656473
Misiones Department,161751
Paraguarí Department,163652
Presidente Hayes Department,68453
San Pedro Department,247552
Unknown,1464
Ñeembucú Department,80711
