Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,19326,12
823788047675556,Call of War,These ads ran without a disclaimer,3839,2
1663305917241505,Khalil Ahmad Bajwa,Khalil Ahmad Bajwa,3813,4
240488586026340,"SINA Health, Education & Welfare Trust","SINA Health, Education & Welfare Trust",3754,2
103767962366726,Mehar Tariq Sajjad MPA PP116,Muhammad Umar,2650,2
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,2637,1
543755195637715,Mian Aslam,Mian Aslam,2007,1
103238092691017,Muhammad Rafiq,Muhammad Rafiq,1981,1
105601235613570,Chaudhary Faisal Ali Bhulla -PTI UK,Chaudhary Faisal Ali Bhulla -PTI UK,1711,3
103396365379272,Faisal Ka Faisala,These ads ran without a disclaimer,1509,1
1723513924558492,Mian Farhad Ali,Mian Farhad Ali,1392,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1386,1
100657482831570,Tashakul Abbas Warraich PP54,Tashakul Abbas Warraich,1272,3
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,1128,2
1517088885216557,AIG,These ads ran without a disclaimer,1127,3
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,1117,7
471203923633819,Marie Stopes Society - Pakistan,These ads ran without a disclaimer,1062,1
133648753466105,Group Development Pakistan,Group Development Pakistan,1004,3
196186547486631,Mahr Mohsin Raza,Mahr Mohsin Raza,977,3
103720225643302,Chaudhry ijaz Ahmad Ranian,Chaudhry ijaz Ahmad Ranian,838,2
502975673136093,INKOMPASS,These ads ran without a disclaimer,835,1
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,832,2
120437430938970,Syed Mohammad Kirmani,John Kirmani,801,1
115445627811504,Muhammad Kashif Mairaj,Muhammad Kashif Mairaj,775,1
102690905990373,Mian Zeeshan Rafique PMLN,Zeeshan Rafique,773,1
101726496194300,Dailytoday,These ads ran without a disclaimer,664,1
204305176293161,Alamgir Khan,Alamgir Khan,663,1
107801948674316,BBU News WORLD,BBU NEWS WORLD,547,2
677173575779097,Muhammad Hanif Pitafi PP289,Muhammad Hanif Pitafi PP289,534,1
356097774970187,Ch Shahid Munir Azhar,Ch Shahid Munir Azhar,525,2
109676458413003,Akhlaq Ahmad Bidani 0fficial PP288,Akhlaq Ahmad Bidani 0fficial PP288,524,1
111058663724200,Advertronics Media,Advertronics Media,509,1
109812220412504,Musa Habib Raja,Musa Habib Raja,496,1
117245297940276,Imtiaz Minhala,Muhammad Arslan Haider,460,3
97429917898,ProPakistani,ProPakistani,410,1
115848681397060,Building Live Together,These ads ran without a disclaimer,398,1
285530825204,Klitschko,These ads ran without a disclaimer,383,8
273161129539624,Khalid Javed Warraich,Khalid Javed Warraich,324,1
107678738939362,,These ads ran without a disclaimer,323,1
199573073387329,Behbud Association Karachi,These ads ran without a disclaimer,318,1
2268307129847915,Rana Mohammad Afzal,Rana Mohammad Afzal,287,1
371171589575669,China.org.cn,These ads ran without a disclaimer,261,1
423670114403144,Trending in China,These ads ran without a disclaimer,261,1
101290539574664,دار النعیم Daar-ul-Naeem,These ads ran without a disclaimer,218,1
435092019877794,Hazara Quami Mahaz Pakistan - HQM,Hazara Quami Mahaz Pakistan - HQM,211,3
152582535361750,Proeducation Platform For Champions-PPC,These ads ran without a disclaimer,128,1
148543868418,STEYR Traktoren,These ads ran without a disclaimer,122,1
110111524665910,adriangdumitru,These ads ran without a disclaimer,113,1
111243881898975,News F,Farhan Umar,≤100,1
105220982517248,Pakistan123,These ads ran without a disclaimer,≤100,1
704901189563852,Musavir Khan,These ads ran without a disclaimer,≤100,1
102648336105352,Whita Glow,These ads ran without a disclaimer,≤100,1
2107858016193986,Voice of Sindh,Voice of Sindh,≤100,1
113272694937405,Mian Ajmal Hussain Badar,These ads ran without a disclaimer,≤100,1
104407805920998,Waheed Khan Naizi Official,These ads ran without a disclaimer,≤100,1
