Location name,Amount spent (VND)
An Giang Province,93125
Bà Rịa–Vũng Tàu Province,67060
Bình Dương Province,81967
Bình Phước Province,31918
Bình Thuận Province,45373
Bình Định Province,45192
Bạc Liêu Province,19401
Bắc Giang Province,56138
Bắc Kạn Province,16186
Bắc Ninh Province,52879
Bến Tre Province,36805
Cao Bằng Province,13995
Cà Mau Province,22109
Cần Thơ,59740
Da Nang,57091
Gia Lai Province,37163
Haiphong,70120
Ho Chi Minh City,594659
Hà Giang Province,19620
Hà Nam Province,20395
Hà Tĩnh Province,56310
Hòa Bình Province,24134
Hưng Yên Province,32361
Hải Dương Province,65330
Hậu Giang Province,13335
Khánh Hòa Province,60919
Kiên Giang Province,47616
Kon Tum Province,12788
Lai Châu Province,3838
Long An Province,32866
Lào Cai Province,14307
Lâm Đồng Province,48008
Lạng Sơn Province,33515
Nam Định Province,51741
Nghệ An Province,99314
Ninh Bình Province,24661
Ninh Thuận Province,16684
Phú Thọ Province,47192
Phú Yên Province,31163
Quảng Bình Province,33553
Quảng Nam Province,47835
Quảng Ngãi Province,46784
Quảng Ninh Province,54695
Quảng Trị Province,35202
Sóc Trăng Province,30665
Sơn La Province,27225
Thanh Hóa Province,88874
Thái Bình Province,49967
Thái Nguyên Province,42843
Thừa Thiên–Huế Province,67697
Tiền Giang Province,57143
Trà Vinh Province,34198
Tuyên Quang Province,33615
Tây Ninh Province,33405
Vĩnh Long Province,31774
Vĩnh Phúc Province,55100
Yên Bái Province,24330
Điện Biên Province,12572
Đắk Lắk Province,70866
Đắk Nông Province,16605
Đồng Nai Province,245035
Đồng Tháp Province,54004
