Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,446
Bangkok,13029
Bueng Kan,≤100
Buriram,221
Chachoengsao,690
Chai Nat,≤100
Chaiyaphum,131
Chanthaburi,190
Chiang Mai,1084
Chiang Rai,261
Chon Buri,3157
Chumphon,363
Kalasin,129
Kamphaeng Phet,168
Kanchanaburi,366
Khon Kaen,354
Krabi,298
Lampang,755
Lamphun,123
Loei,≤100
Lop Buri,156
Mae Hong Son,≤100
Maha Sarakham,145
Mukdahan,≤100
Nakhon Nayok,355
Nakhon Pathom,742
Nakhon Phanom,≤100
Nakhon Ratchasima,546
Nakhon Sawan,336
Nakhon Si Thammarat,2542
Nan,≤100
Narathiwat,153
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,627
Pathum Thani,383
Pattani,308
Phangnga,246
Phatthalung,385
Phayao,393
Phetchabun,134
Phetchaburi,503
Phichit,180
Phitsanulok,2350
Phrae,≤100
Phuket,1530
Prachin Buri,185
Prachuap Khiri Khan,337
Ranong,≤100
Ratchaburi,363
Rayong,243
Roi Et,180
Sa Kaeo,106
Sakon Nakhon,146
Samut Prakan,581
Samut Sakhon,422
Samut Songkhram,593
Saraburi,227
Satun,231
Sing Buri,≤100
Sisaket,192
Songkhla,3045
Sukhothai,241
Suphan Buri,204
Surat Thani,6961
Surin,195
Tak,114
Trang,268
Trat,≤100
Ubon Ratchathani,324
Udon Thani,202
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,159
Yasothon,521
