Location name,Amount spent (NZD)
Auckland Region,4581
Bay of Plenty Region,894
Canterbury,1557
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,377
Manawatu-Wanganui,750
Marlborough Region,132
Nelson Province,160
Niue,≤100
Northland Region,504
Otago,683
Southland,285
Taranaki,383
Tasman District,103
Tokelau,≤100
Unknown,≤100
Waikato,1417
Wellington Region,1166
West Coast,≤100
