Location name,Amount spent (PYG)
Alto Paraguay Department,22445
Alto Paraná Department,3048920
Amambay Department,256115
Asunción,2473768
Boquerón department,97019
Caaguazú Department,892239
Caazapá Department,250767
Canindeyú Department,251525
Central Department,7574068
Concepción Department (Paraguay),286614
Cordillera Department,699532
Guairá Department,384800
Itapúa Department,1067058
Misiones Department,375162
Paraguarí Department,272282
Presidente Hayes Department,195127
San Pedro Department,344650
Unknown,525
Ñeembucú Department,166782
