Location name,Amount spent (HUF)
Baranya County,112653
Borsod-Abaúj-Zemplén County,167796
Budapest,849331
Bács-Kiskun County,139881
Békés County,95660
Csongrád County,133519
Fejér County,129194
Győr-Moson-Sopron County,137240
Hajdú-Bihar County,150045
Heves County,94739
Jász-Nagykun-Szolnok County,101109
Komárom-Esztergom County,80885
Nógrád County,45724
Pest County,312275
Somogy County,77976
Szabolcs-Szatmár-Bereg County,138843
Tolna County,63190
Unknown,162
Vas County,73056
Veszprém County,91333
Zala County,76416
