Location name,Amount spent (PYG)
Alto Paraguay Department,16897
Alto Paraná Department,318168
Amambay Department,26372
Asunción,387335
Boquerón department,24993
Caaguazú Department,91065
Caazapá Department,22547
Canindeyú Department,34871
Central Department,2240096
Concepción Department (Paraguay),40762
Cordillera Department,70440
Guairá Department,39356
Itapúa Department,97667
Misiones Department,68364
Paraguarí Department,108026
Presidente Hayes Department,33076
San Pedro Department,52260
Unknown,≤100
Ñeembucú Department,17656
