Location name,Amount spent (ZAR)
Eastern Cape,991
Free State,695
Gauteng,4299
KwaZulu-Natal,1437
Limpopo,508
Mpumalanga,599
North West,476
Northern Cape,158
Unknown,≤100
Western Cape,9033
