Location name,Amount spent (PLN)
Greater Poland Voivodeship,5602
Kuyavian-Pomeranian Voivodeship,3609
Lesser Poland Voivodeship,4688
Lower Silesian Voivodeship,5250
Lublin Voivodeship,2424
Lubusz Voivodeship,2397
Masovian Voivodeship,11766
Opole Voivodeship,1547
Podkarpackie Voivodeship,2236
Podlaskie Voivodeship,1318
Pomeranian Voivodeship,4139
Silesian Voivodeship,6558
Unknown,≤100
Warmian-Masurian Voivodeship,2185
West Pomeranian Voivodeship,3782
Łódź Voivodeship,4960
Świętokrzyskie Voivodeship,1394
