Location name,Amount spent (MXN)
Aguascalientes,5671
Baja California,23608
Baja California Sur,4986
Campeche,6731
Chiapas,18341
Chihuahua,22242
Coahuila de Zaragoza,22766
Colima,10158
Distrito Federal,170906
Durango,4699
Guanajuato,35428
Guerrero,9645
Hidalgo,11978
Jalisco,76210
Michoacán de Ocampo,38329
Morelos,8998
Nayarit,12775
Nuevo León,106665
Oaxaca,9782
Puebla,22204
Querétaro Arteaga,16187
Quintana Roo,16640
San Luis Potosi,12284
Sinaloa,11956
Sonora,15978
State of Mexico,156192
Tabasco,11694
Tamaulipas,15789
Tlaxcala,3843
Unknown,≤100
Veracruz,30406
Yucatán,15168
Zacatecas,4872
