Location name,Amount spent (MXN)
Aguascalientes,11264
Baja California,37675
Baja California Sur,8002
Campeche,15846
Chiapas,44726
Chihuahua,26826
Coahuila de Zaragoza,22339
Colima,9300
Distrito Federal,162157
Durango,7457
Guanajuato,98249
Guerrero,17546
Hidalgo,12409
Jalisco,119133
Michoacán de Ocampo,47190
Morelos,46195
Nayarit,7245
Nuevo León,195559
Oaxaca,20672
Puebla,90998
Querétaro Arteaga,41143
Quintana Roo,114019
San Luis Potosi,36449
Sinaloa,16475
Sonora,26196
State of Mexico,71249
Tabasco,14997
Tamaulipas,31783
Tlaxcala,6256
Unknown,≤100
Veracruz,43423
Yucatán,42548
Zacatecas,6150
