Location name,Amount spent (VND)
An Giang Province,65528
Bà Rịa–Vũng Tàu Province,88118
Bình Dương Province,192057
Bình Phước Province,91676
Bình Thuận Province,83751
Bình Định Province,79776
Bạc Liêu Province,25789
Bắc Giang Province,231336
Bắc Kạn Province,41987
Bắc Ninh Province,207508
Bến Tre Province,31892
Cao Bằng Province,50975
Cà Mau Province,36170
Cần Thơ,111391
Da Nang,134095
Gia Lai Province,174082
Haiphong,378528
Ho Chi Minh City,801435
Hà Giang Province,60139
Hà Nam Province,69439
Hà Tĩnh Province,68520
Hòa Bình Province,103976
Hưng Yên Province,107276
Hải Dương Province,166883
Hậu Giang Province,13829
Khánh Hòa Province,102968
Kiên Giang Province,79736
Kon Tum Province,78728
Lai Châu Province,21639
Long An Province,57006
Lào Cai Province,83437
Lâm Đồng Province,86662
Lạng Sơn Province,87513
Nam Định Province,81727
Nghệ An Province,220928
Ninh Bình Province,77983
Ninh Thuận Province,21287
Phú Thọ Province,135839
Phú Yên Province,63556
Quảng Bình Province,51475
Quảng Nam Province,78908
Quảng Ngãi Province,77040
Quảng Ninh Province,268408
Quảng Trị Province,22990
Sóc Trăng Province,36976
Sơn La Province,154537
Thanh Hóa Province,370327
Thái Bình Province,125444
Thái Nguyên Province,176842
Thừa Thiên–Huế Province,163025
Tiền Giang Province,82061
Trà Vinh Province,31602
Tuyên Quang Province,82515
Tây Ninh Province,73268
Vĩnh Long Province,24431
Vĩnh Phúc Province,137047
Yên Bái Province,96787
Điện Biên Province,83934
Đắk Lắk Province,273865
Đắk Nông Province,28303
Đồng Nai Province,237403
Đồng Tháp Province,64491
