Location name,Amount spent (PLN)
Greater Poland Voivodeship,4527
Kuyavian-Pomeranian Voivodeship,2737
Lesser Poland Voivodeship,4374
Lower Silesian Voivodeship,4448
Lublin Voivodeship,2393
Lubusz Voivodeship,990
Masovian Voivodeship,8577
Opole Voivodeship,933
Podkarpackie Voivodeship,1896
Podlaskie Voivodeship,1016
Pomeranian Voivodeship,3505
Silesian Voivodeship,4343
Unknown,≤100
Warmian-Masurian Voivodeship,1850
West Pomeranian Voivodeship,2019
Łódź Voivodeship,2799
Świętokrzyskie Voivodeship,1244
