Location name,Amount spent (THB)
Amnat Charoen,892
Ang Thong,257
Ayutthaya,1382
Bangkok,88065
Bueng Kan,527
Buriram,1807
Chachoengsao,1019
Chai Nat,2098
Chaiyaphum,2032
Chanthaburi,3507
Chiang Mai,3203
Chiang Rai,1701
Chon Buri,16948
Chumphon,672
Kalasin,983
Kamphaeng Phet,665
Kanchanaburi,11526
Khon Kaen,5732
Krabi,943
Lampang,728
Lamphun,443
Loei,505
Lop Buri,600
Mae Hong Son,230
Maha Sarakham,1046
Mukdahan,502
Nakhon Nayok,237
Nakhon Pathom,5144
Nakhon Phanom,5525
Nakhon Ratchasima,6012
Nakhon Sawan,2938
Nakhon Si Thammarat,6175
Nan,557
Narathiwat,466
Nong Bua Lam Phu,348
Nong Khai,417
Nonthaburi,4913
Pathum Thani,6982
Pattani,779
Phangnga,619
Phatthalung,2407
Phayao,1025
Phetchabun,1027
Phetchaburi,711
Phichit,700
Phitsanulok,6416
Phrae,461
Phuket,14398
Prachin Buri,478
Prachuap Khiri Khan,1234
Ranong,232
Ratchaburi,3300
Rayong,2768
Roi Et,945
Sa Kaeo,929
Sakon Nakhon,2215
Samut Prakan,5817
Samut Sakhon,3345
Samut Songkhram,5311
Saraburi,1161
Satun,715
Sing Buri,242
Sisaket,1057
Songkhla,11958
Sukhothai,1408
Suphan Buri,1511
Surat Thani,26688
Surin,1261
Tak,343
Trang,4078
Trat,1694
Ubon Ratchathani,1657
Udon Thani,1152
Unknown,≤100
Uthai Thani,264
Uttaradit,371
Yala Province,641
Yasothon,1304
