Location name,Amount spent (RON)
Alba County,604
Arad County,728
Argeș County,999
Bacău County,911
Bihor County,1002
Bistrița-Năsăud County,466
Botoșani County,654
Brașov County,1020
Brăila County,672
Bucharest,4951
Buzău County,636
Caraș-Severin County,445
Cluj County,1787
Constanța County,1411
Covasna County,282
Călărași County,402
Dolj County,953
Dâmbovița County,1000
Galați County,818
Giurgiu County,316
Gorj County,583
Harghita County,535
Hunedoara County,900
Ialomița County,326
Iași County,1562
Ilfov County,769
Maramureș County,828
Mehedinți County,405
Mureș County,886
Neamț County,822
Olt County,467
Prahova County,1270
Satu Mare County,563
Sibiu County,1207
Suceava County,1024
Sălaj County,358
Teleorman County,414
Timiș County,1472
Tulcea County,431
Unknown,≤100
Vaslui County,550
Vrancea County,558
Vâlcea County,557
