Location name,Amount spent (TRY)
Adana Province,4456
Adıyaman Province,102
Afyonkarahisar Province,344
Aksaray Province,117
Amasya Province,229
Ankara Province,1563
Antalya Province,1449
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,723
Ağrı Province,≤100
Balıkesir Province,455
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,1062
Denizli Province,381
Diyarbakır Province,226
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,125
Eskişehir Province,327
Gaziantep Province,609
Giresun Province,151
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,799
Isparta Province,143
Istanbul Province,7229
Iğdır Province,≤100
Kahramanmaraş Province,368
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,432
Kilis Province,≤100
Kocaeli Province,394
Konya Province,672
Kütahya Province,146
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,151
Manisa Province,468
Mardin Province,133
Mersin Province,1404
Muğla Province,526
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,236
Osmaniye Province,216
Rize Province,≤100
Sakarya Province,148
Samsun Province,1109
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,119
Tekirdağ Province,255
Tokat Province,126
Trabzon Province,239
Tunceli Province,≤100
Unknown,≤100
Uşak Province,148
Van Province,122
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,157
Çanakkale Province,405
Çankırı Province,≤100
Çorum Province,137
İzmir Province,2142
Şanlıurfa Province,547
Şırnak Province,≤100
