Location name,Amount spent (IDR)
Aceh,929307
Bali,2276347
Bangka–Belitung Islands,207721
Banten,1983166
Bengkulu,420081
Central Java,9027394
Central Kalimantan,360610
Central Sulawesi,1278899
East Java,7368602
East Kalimantan,1645252
East Nusa Tenggara,2934162
Gorontalo,481303
Jakarta,5584825
Jambi,823047
Lampung,2356586
Maluku,488882
North Kalimantan,148546
North Maluku,192618
North Sulawesi,2045516
North Sumatra,4447861
Papua (province),1039321
Riau,2269628
Riau Islands Province,526917
South Kalimantan,301050
South Sulawesi,2664717
South Sumatra,2567058
Southeast Sulawesi,1263555
Special Region of Yogyakarta,2565111
Unknown,3848
West Java,9043322
West Kalimantan,2152171
West Nusa Tenggara,1959599
West Papua,174045
West Sulawesi,241595
West Sumatra,2185572
