Location name,Amount spent (HTG)
Artibonite Department,2559
Centre Department,725
Grand'Anse Department,181
Nippes Department,181
Nord Department,1087
Nord-Est Department,725
Nord-Ouest Department,725
Ouest Department,7974
Sud Department,544
Sud-Est Department,362
