Location name,Amount spent (ZAR)
Eastern Cape,3662
Free State,2159
Gauteng,18806
KwaZulu-Natal,6212
Limpopo,2674
Mpumalanga,2870
North West,1866
Northern Cape,698
Unknown,≤100
Western Cape,20921
