Location name,Amount spent (EUR)
Aveiro District,175
Azores,≤100
Beja District,≤100
Braga District,222
Braganca,≤100
Castelo Branco District,≤100
Coimbra District,113
Faro District,150
Guarda District,≤100
Leiria District,121
Lisbon District,759
Madeira,≤100
Portalegre District,≤100
Porto District,531
Santarém District,110
Setúbal District,281
Unknown,≤100
Viana do Castelo District,≤100
Vila Real District,≤100
Viseu District,≤100
Évora District,≤100
