Location name,Amount spent (LBP)
Beirut Governorate,3068246
Beqaa Governorate,1082707
Mount Lebanon Governorate,1773208
Nabatieh Governorate,451128
North Governorate,1509599
South Governorate,679849
Unknown,≤100
