Location name,Amount spent (JPY)
Aichi Prefecture,53303
Akita Prefecture,4490
Aomori Prefecture,7082
Chiba Prefecture,40300
Ehime Prefecture,7532
Fukui Prefecture,4678
Fukuoka Prefecture,66500
Fukushima Prefecture,8027
Gifu Prefecture,11599
Gunma Prefecture,9929
Hiroshima Prefecture,27305
Hokkaido,34984
Hyōgo Prefecture,45724
Ibaraki Prefecture,14818
Ishikawa Prefecture,7497
Iwate Prefecture,8202
Kagawa Prefecture,6554
Kagoshima Prefecture,7946
Kanagawa Prefecture,87784
Kumamoto Prefecture,11593
Kyoto Prefecture,27561
Kōchi Prefecture,2775
Mie Prefecture,10151
Miyagi Prefecture,22784
Miyazaki Prefecture,7750
Nagano Prefecture,10843
Nagasaki Prefecture,8410
Nara Prefecture,8195
Niigata Prefecture,10975
Okayama Prefecture,17082
Okinawa Prefecture,12015
Osaka Prefecture,87872
Saga Prefecture,5957
Saitama Prefecture,53074
Shiga Prefecture,8551
Shimane Prefecture,3959
Shizuoka Prefecture,22092
Tochigi Prefecture,10247
Tokushima Prefecture,4037
Tokyo,134217
Tottori Prefecture,3092
Toyama Prefecture,4513
Unknown,≤100
Wakayama Prefecture,6352
Yamagata Prefecture,5538
Yamaguchi Prefecture,7147
Yamanashi Prefecture,4487
Ōita Prefecture,7564
