Location name,Amount spent (INR)
Andaman and Nicobar Islands,599
Andhra Pradesh,95016
Arunachal Pradesh,2724
Assam,23882
Bihar,73464
Chandigarh,2236
Chhattisgarh,43428
Dadra and Nagar Haveli,971
Delhi,77033
Goa,1663
Gujarat,59827
Haryana,50583
Himachal Pradesh,15544
Jammu and Kashmir,9228
Jharkhand,17829
Karnataka,185289
Kerala,14030
Lakshadweep,≤100
Madhya Pradesh,86817
Maharashtra,200330
Manipur,2658
Meghalaya,2796
Mizoram,1178
Nagaland,1735
Odisha,20865
Puducherry,1258
Punjab region,31930
Rajasthan,138701
Sikkim,977
Tamil Nadu,44982
Telangana,82677
Tripura,5509
Unknown,≤100
Uttar Pradesh,122413
Uttarakhand,13277
West Bengal,58285
