Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
101875098313543,Andel,Andel,21737,6
116269191760882,DSB,DSB,9551,4
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,8107,7
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,5875,52
104544224264943,3F Transport,3F Transport,5398,3
26458152911,SOS Børnebyerne,SOS Børnebyerne,4714,24
65929129383,Røde Kors,Røde Kors,4033,32
304554445813,Videncentret Bolius,Videncentret Bolius,3932,21
599763040213164,Radius Elnet,Radius Elnet,3727,2
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3604,45
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2900,43
12860228293,Politiken,Politiken,2683,16
72672361910,Børns Vilkår,Børns Vilkår,2569,20
159000594147871,Mary Fonden,Mary Fonden,2514,17
748887235210811,Obton Forvaltning A/S,Obton A/S,2476,16
123653695693986,Motatos Danmark,Motatos,2448,12
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,2269,21
12787473132,Berlingske,Berlingske,2174,23
55365680705,Greenpeace Danmark,Greenpeace Danmark,1559,11
106185013241,GirlTalk,GirlTalk.dk,1548,2
342716189117135,Sparekassen Danmark,Sparekassen Danmark,1232,2
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,1167,12
399210657232918,PlanBørnefonden,PlanBørnefonden,1143,7
314676938743,DM din akademiske fagforening,DM,1110,15
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,1079,4
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,1022,21
126543540781090,Ældre Sagen,Ældre Sagen,1004,18
133707013355759,Danner,Danner,975,1
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,964,36
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,957,21
106468772046278,Project Greensand,Project Greensand,941,11
102154048301476,Lederstof.dk,Lederne,938,22
867877683280051,Weekendavisen,Weekendavisen,787,21
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,776,12
304554445813,Videncentret Bolius,Bolius,703,3
387605967384,Ude og Hjemme,These ads ran without a disclaimer,693,2
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,653,1
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,640,1
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,633,6
287306323369,Børnecancerfonden,Børnecancerfonden,586,2
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,583,5
246977185497434,Plastic Change,Plastic Change,580,25
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,527,12
36664432940,Amnesty International Danmark,Amnesty Danmark,437,15
110560691837684,SolCompagniet,SolCompagniet,433,1
59143726810,Psykiatrifonden,Psykiatrifonden,419,1
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,372,1
633648073469576,Folketingets EU-Oplysning,Folketingets EU-Oplysning,350,1
437410226312057,Københavns Kommune,Københavns Kommune,319,4
178362315106,European Parliament,European Parliament,317,9
105511328705392,HØRT,Børns Vilkår,283,2
197135936965427,DKsyd TV,Dksyd,280,1
166984636671085,Dansk Metal,Dansk Metal,272,1
1704424023182897,Politiken Historie,Politiken Historie,271,12
246097715413231,Alkohol & Samfund,Alkohol & Samfund,239,10
167887506877,AIDS-Fondet,AIDS-Fondet,226,12
101248435485457,Frihedsbrevet,Mediehuset Friheden,193,2
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,190,14
186645960378,Danwatch,Danwatch,190,8
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,179,3
107305428114846,Anja Rosengreen,Bigum Marianne Kristine Kjaergaard,171,1
852608988134698,Tikko,Tikko,170,2
67571270393,Red Barnet,Red Barnet,169,3
494902077334290,Tuborgfondet,Tuborgfondet,167,6
111561545539837,Krigsmuseet,Krigsmuseet,162,3
336978259712588,YouGlobe,Helle Thilo,154,1
123114457761430,Valby Lokaludvalg,Valby Lokaludvalg,148,2
108273171366317,Moderaterne,Moderaterne,148,2
213185957376123,JP Randers,These ads ran without a disclaimer,148,1
305932686202047,Caritas Danmark,Caritas Danmark,147,1
336333896418452,Assens Kommune,Assens Kommune,145,1
341299649231023,Zetland,Zetland,135,4
103833175171723,"Heidi Boss Nyby, Konservativ Byrådsmedlem, Fredensborg Kommune",Heidi Nyby,131,2
459641371068935,Forenet Kredit,Forenet Kredit,128,1
363339517015011,Aabenraa Kommune,Aabenraa Kommune,122,1
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,119,1
1450750935146684,Asger Christensen i EU,Christensen Asger Bank Møller,114,1
390925417751473,Erling Bonnesen,Erling Bonnesen,114,2
482695791907139,Danske Vandværker,Danske Vandværker,112,3
161708011540,Mads Duedahl,Venstre i Nordjylland,111,16
110953988146557,Mads Samsing,HK Danmark,111,2
1822254634537356,Nye tider,Nyetider.nu,105,2
100343001690599,Niels Peder Ravn,Niels Peder Ravn,101,1
221131391257614,Humanistisk Samfund,Humanistisk Samfund,101,2
281457390200,Nørrebro Teater,Nørrebro Teater,≤100,6
20303574131,Nationalmuseet,Nationalmuseet,≤100,4
109832114803166,Videnskabsår22,Videnskabsår22 c/o Videnskabernes Selskab,≤100,2
106298611945296,Højskolen Grobund,Jonas Hagen Høj,≤100,2
188067981214220,Forskningens Døgn,Uddannelses- og Forskningsministeriet,≤100,1
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100,3
