Location name,Amount spent (EUR)
Alsace,628
Aquitaine,1126
Auvergne,337
Basse-Normandie,382
Bourgogne,421
Bretagne,908
Centre,737
Champagne-Ardenne,327
Corse,118
Franche-Comté,274
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,652
Languedoc-Roussillon,949
Limousin,194
Lorraine,774
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,877
New Caledonia,≤100
Nord-Pas-de-Calais,1314
Pays de la Loire,1153
Picardie,493
Poitou-Charentes,497
Provence-Alpes-Côte d'Azur,1819
Reunion Island,≤100
Rhône-Alpes,1779
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3429
