Location name,Amount spent (THB)
Amnat Charoen,172
Ang Thong,119
Ayutthaya,1529
Bangkok,35656
Bueng Kan,141
Buriram,548
Chachoengsao,2004
Chai Nat,922
Chaiyaphum,351
Chanthaburi,360
Chiang Mai,2135
Chiang Rai,857
Chon Buri,15163
Chumphon,879
Kalasin,405
Kamphaeng Phet,758
Kanchanaburi,690
Khon Kaen,1062
Krabi,434
Lampang,580
Lamphun,368
Loei,267
Lop Buri,307
Mae Hong Son,≤100
Maha Sarakham,397
Mukdahan,192
Nakhon Nayok,637
Nakhon Pathom,2194
Nakhon Phanom,885
Nakhon Ratchasima,1437
Nakhon Sawan,439
Nakhon Si Thammarat,1259
Nan,244
Narathiwat,327
Nong Bua Lam Phu,250
Nong Khai,242
Nonthaburi,1602
Pathum Thani,1549
Pattani,493
Phangnga,286
Phatthalung,634
Phayao,758
Phetchabun,435
Phetchaburi,267
Phichit,568
Phitsanulok,3690
Phrae,213
Phuket,5997
Prachin Buri,463
Prachuap Khiri Khan,382
Ranong,164
Ratchaburi,981
Rayong,1067
Roi Et,478
Sa Kaeo,358
Sakon Nakhon,391
Samut Prakan,6581
Samut Sakhon,1238
Samut Songkhram,221
Saraburi,551
Satun,352
Sing Buri,208
Sisaket,511
Songkhla,7022
Sukhothai,296
Suphan Buri,475
Surat Thani,1152
Surin,488
Tak,208
Trang,657
Trat,110
Ubon Ratchathani,873
Udon Thani,759
Unknown,≤100
Uthai Thani,114
Uttaradit,206
Yala Province,316
Yasothon,265
