Location name,Amount spent (EUR)
Alsace,576
Aquitaine,1240
Auvergne,384
Basse-Normandie,411
Bourgogne,455
Bretagne,1028
Centre,705
Champagne-Ardenne,399
Corse,118
Franche-Comté,318
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,561
Languedoc-Roussillon,1174
Limousin,199
Lorraine,790
Martinique,≤100
Mayotte,217
Midi-Pyrénées,1030
New Caledonia,≤100
Nord-Pas-de-Calais,1511
Pays de la Loire,1369
Picardie,620
Poitou-Charentes,535
Provence-Alpes-Côte d'Azur,2279
Reunion Island,≤100
Rhône-Alpes,2211
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4514
