Location name,Amount spent (PYG)
Alto Paraguay Department,10573
Alto Paraná Department,1609498
Amambay Department,193085
Asunción,1647714
Boquerón department,63576
Caaguazú Department,669389
Caazapá Department,156484
Canindeyú Department,150246
Central Department,4578690
Concepción Department (Paraguay),198240
Cordillera Department,388241
Guairá Department,177175
Itapúa Department,555670
Misiones Department,141019
Paraguarí Department,221693
Presidente Hayes Department,102038
San Pedro Department,237639
Unknown,643
Ñeembucú Department,86217
