Location name,Amount spent (RON)
Alba County,557
Arad County,823
Argeș County,897
Bacău County,709
Bihor County,910
Bistrița-Năsăud County,436
Botoșani County,742
Brașov County,937
Brăila County,342
Bucharest,3401
Buzău County,602
Caraș-Severin County,313
Cluj County,1098
Constanța County,907
Covasna County,289
Călărași County,324
Dolj County,1011
Dâmbovița County,706
Galați County,725
Giurgiu County,352
Gorj County,553
Harghita County,565
Hunedoara County,542
Ialomița County,240
Iași County,1042
Ilfov County,689
Maramureș County,972
Mehedinți County,419
Mureș County,1326
Neamț County,1027
Olt County,366
Prahova County,1187
Satu Mare County,437
Sibiu County,602
Suceava County,726
Sălaj County,287
Teleorman County,304
Timiș County,1078
Tulcea County,237
Unknown,≤100
Vaslui County,390
Vrancea County,471
Vâlcea County,696
