Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,704
Bicol Region,3512
Cagayan Valley,2610
Calabarzon,15981
Caraga,1754
Central Luzon,9011
Central Visayas,6535
Cordillera Administrative Region,1498
Davao Region,3022
Eastern Visayas,2869
Ilocos Region,3719
Metro Manila,22014
Mimaropa,2005
Northern Mindanao,3412
Soccsksargen,2464
Unknown,≤100
Western Visayas,14154
Zamboanga Peninsula,3971
