Location name,Amount spent (EUR)
Alsace,657
Aquitaine,1314
Auvergne,428
Basse-Normandie,478
Bourgogne,543
Bretagne,1100
Centre,845
Champagne-Ardenne,507
Corse,165
Franche-Comté,367
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,673
Languedoc-Roussillon,1289
Limousin,251
Lorraine,1169
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1148
New Caledonia,≤100
Nord-Pas-de-Calais,1559
Pays de la Loire,1152
Picardie,699
Poitou-Charentes,635
Provence-Alpes-Côte d'Azur,2399
Reunion Island,≤100
Rhône-Alpes,2207
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4341
