Location name,Amount spent (PKR)
Azad Kashmir,1457
Balochistan,1607
Federally Administered Tribal Areas,382
Gilgit-Baltistan,760
Islamabad Capital Territory,1947
Khyber Pakhtunkhwa,10736
Punjab,25057
Sindh,10664
Unknown,≤100
