Location name,Amount spent (USD)
Azuay Province,603
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,107
Chimborazo Province,138
Cotopaxi Province,≤100
El Oro Province,408
Esmeraldas Province,205
Galápagos Province,≤100
Guayas Province,1561
Imbabura Province,138
Loja Province,≤100
Los Ríos Province,276
Manabí Province,743
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1143
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,595
Sucumbíos Province,≤100
Tungurahua Province,120
Unknown,≤100
Zamora-Chinchipe Province,≤100
