Location name,Amount spent (EGP)
Al Sharqia Governorate,7065
Alexandria Governorate,9530
Aswan Governorate,1359
Asyut Governorate,2819
Beheira Governorate,4250
Beni Suef Governorate,1828
Cairo Governorate,20634
Dakahlia Governorate,8877
Damietta Governorate,2508
Faiyum Governorate,1945
Gharbia Governorate,5811
Giza Governorate,5788
Ismailia Governorate,1856
Kafr el-Sheikh Governorate,3253
Luxor Governorate,899
Matrouh Governorate,415
Minya Governorate,3240
Monufia Governorate,4300
New Valley Governorate,345
North Sinai Governorate,644
Port Said Governorate,1471
Qalyubia Governorate,4921
Qena Governorate,2061
Red Sea Governorate,819
Sohag Governorate,3133
South Sinai Governorate,295
Suez Governorate,1205
Unknown,≤100
