Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,369
Bangkok,9569
Bueng Kan,≤100
Buriram,373
Chachoengsao,294
Chai Nat,103
Chaiyaphum,369
Chanthaburi,300
Chiang Mai,2776
Chiang Rai,337
Chon Buri,5002
Chumphon,190
Kalasin,185
Kamphaeng Phet,233
Kanchanaburi,273
Khon Kaen,721
Krabi,616
Lampang,461
Lamphun,151
Loei,161
Lop Buri,219
Mae Hong Son,≤100
Maha Sarakham,226
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,567
Nakhon Phanom,148
Nakhon Ratchasima,746
Nakhon Sawan,763
Nakhon Si Thammarat,512
Nan,130
Narathiwat,172
Nong Bua Lam Phu,110
Nong Khai,135
Nonthaburi,940
Pathum Thani,650
Pattani,194
Phangnga,111
Phatthalung,167
Phayao,128
Phetchabun,208
Phetchaburi,171
Phichit,157
Phitsanulok,272
Phrae,150
Phuket,212
Prachin Buri,195
Prachuap Khiri Khan,180
Ranong,≤100
Ratchaburi,448
Rayong,435
Roi Et,286
Sa Kaeo,143
Sakon Nakhon,352
Samut Prakan,441
Samut Sakhon,1678
Samut Songkhram,≤100
Saraburi,272
Satun,≤100
Sing Buri,≤100
Sisaket,313
Songkhla,707
Sukhothai,163
Suphan Buri,245
Surat Thani,459
Surin,334
Tak,160
Trang,553
Trat,≤100
Ubon Ratchathani,474
Udon Thani,378
Unknown,≤100
Uthai Thani,108
Uttaradit,133
Yala Province,162
Yasothon,129
