Location name,Amount spent (INR)
Andaman and Nicobar Islands,1039
Andhra Pradesh,106504
Arunachal Pradesh,5057
Assam,19210
Bihar,62868
Chandigarh,2192
Chhattisgarh,17975
Dadra and Nagar Haveli,759
Delhi,72722
Goa,1770
Gujarat,66709
Haryana,46704
Himachal Pradesh,11913
Jammu and Kashmir,6298
Jharkhand,13941
Karnataka,216991
Kerala,19317
Lakshadweep,≤100
Madhya Pradesh,84079
Maharashtra,258306
Manipur,2562
Meghalaya,2851
Mizoram,651
Nagaland,1382
Odisha,17535
Puducherry,839
Punjab region,31161
Rajasthan,108332
Sikkim,700
Tamil Nadu,33144
Telangana,83779
Tripura,3851
Unknown,122
Uttar Pradesh,106665
Uttarakhand,11558
West Bengal,43323
