Location name,Amount spent (SEK)
Blekinge County,3935
Dalarna County,8049
Gotland County,1821
Gävleborg County,8370
Halland County,8147
Jämtland County,3842
Jönköping County,9304
Kalmar County,5930
Kronoberg County,4829
Norrbotten County,7010
Skåne County,40554
Stockholm County,76016
Södermanland County,8252
Unknown,≤100
Uppsala County,11362
Värmland County,9165
Västerbotten County,8101
Västernorrland County,6496
Västmanland County,7957
Västra Götaland County,57815
Örebro County,9416
Östergötland County,14723
