Location name,Amount spent (PKR)
Azad Kashmir,388
Balochistan,1110
Federally Administered Tribal Areas,251
Gilgit-Baltistan,433
Islamabad Capital Territory,1975
Khyber Pakhtunkhwa,5678
Punjab,18690
Sindh,11521
Unknown,≤100
