Location name,Amount spent (MXN)
Aguascalientes,4403
Baja California,22806
Baja California Sur,3126
Campeche,15676
Chiapas,13790
Chihuahua,18282
Coahuila de Zaragoza,19375
Colima,6959
Distrito Federal,113775
Durango,5076
Guanajuato,43280
Guerrero,9132
Hidalgo,10407
Jalisco,51346
Michoacán de Ocampo,20940
Morelos,8768
Nayarit,5549
Nuevo León,61836
Oaxaca,9775
Puebla,18329
Querétaro Arteaga,12870
Quintana Roo,9685
San Luis Potosi,14473
Sinaloa,9905
Sonora,13040
State of Mexico,57886
Tabasco,10555
Tamaulipas,16260
Tlaxcala,3283
Unknown,≤100
Veracruz,23538
Yucatán,20303
Zacatecas,4268
