Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
102851155670931,mUEve,mUEve,8300,6
265843867173714,La Revista,La Revista,7172,8
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,5601,2
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,3031,1
269896979745792,Programa Estado de la Nación,Manuel Alejandro Alfaro Alfaro,2207,1
102084562479533,Digital506,Digital506,1522,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1187,1
105655721900130,Diputada Johana Obando,Diputada Johana Obando,1134,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1120,1
113487991677883,PLP Paraíso,Juan Andres Vasquez Quiros,1120,1
167878593236712,UNICEF en español,These ads ran without a disclaimer,1042,2
102643532445938,Ada Acuña - Diputada,Jacqui Solano,956,1
117476041631671,AmCham Costa Rica,AmCham Costa Rica,650,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,235,8
100790446096988,De Esto No Se Habla,These ads ran without a disclaimer,≤100,1
1854196034809154,El Oráculo de Costa Rica,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
116155101806729,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,2
100365208581323,Revolución Eñame,These ads ran without a disclaimer,≤100,1
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,1
903577146395715,Toronto Centre,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
310082752437679,Alvaro Reyes,These ads ran without a disclaimer,≤100,2
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,These ads ran without a disclaimer,≤100,1
98876727842,Cummins Inc,These ads ran without a disclaimer,≤100,2
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,1
96222644025,Sacramento Kings,These ads ran without a disclaimer,≤100,1
102334429405192,descansocreativo,These ads ran without a disclaimer,≤100,1
