Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1350
Bicol Region,8584
Cagayan Valley,6076
Calabarzon,29767
Caraga,3146
Central Luzon,28281
Central Visayas,12190
Cordillera Administrative Region,3314
Davao Region,8673
Eastern Visayas,5676
Ilocos Region,8918
Metro Manila,36853
Mimaropa,4402
Northern Mindanao,6429
Soccsksargen,5967
Unknown,≤100
Western Visayas,15031
Zamboanga Peninsula,4283
