Location name,Amount spent (VND)
An Giang Province,81101
Bà Rịa–Vũng Tàu Province,44705
Bình Dương Province,110469
Bình Phước Province,80433
Bình Thuận Province,125266
Bình Định Province,67501
Bạc Liêu Province,30747
Bắc Giang Province,244071
Bắc Kạn Province,54838
Bắc Ninh Province,94300
Bến Tre Province,39541
Cao Bằng Province,33441
Cà Mau Province,78888
Cần Thơ,26496
Da Nang,72620
Gia Lai Province,87345
Haiphong,123005
Ho Chi Minh City,917720
Hà Giang Province,56167
Hà Nam Province,71139
Hà Tĩnh Province,99714
Hòa Bình Province,77600
Hưng Yên Province,81040
Hải Dương Province,217665
Hậu Giang Province,17773
Khánh Hòa Province,71256
Kiên Giang Province,53243
Kon Tum Province,26407
Lai Châu Province,10056
Long An Province,54283
Lào Cai Province,38161
Lâm Đồng Province,87218
Lạng Sơn Province,82154
Nam Định Province,132275
Nghệ An Province,221871
Ninh Bình Province,89859
Ninh Thuận Province,31554
Phú Thọ Province,312984
Phú Yên Province,51722
Quảng Bình Province,70549
Quảng Nam Province,99413
Quảng Ngãi Province,109916
Quảng Ninh Province,95843
Quảng Trị Province,57554
Sóc Trăng Province,35714
Sơn La Province,79380
Thanh Hóa Province,564870
Thái Bình Province,162787
Thái Nguyên Province,116946
Thừa Thiên–Huế Province,246651
Tiền Giang Province,46946
Trà Vinh Province,41882
Tuyên Quang Province,217630
Tây Ninh Province,55179
Unknown,≤100
Vĩnh Long Province,24561
Vĩnh Phúc Province,110251
Yên Bái Province,96824
Điện Biên Province,57330
Đắk Lắk Province,153749
Đắk Nông Province,53957
Đồng Nai Province,139211
Đồng Tháp Province,66051
