Location name,Amount spent (DKK)
Capital Region of Denmark,38630
Central Denmark Region,18923
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8228
Region of Southern Denmark,18362
Unknown,≤100
Zealand Region,15172
