Location name,Amount spent (DKK)
Capital Region of Denmark,57860
Central Denmark Region,36787
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,14911
Region of Southern Denmark,30334
Unknown,≤100
Zealand Region,20382
